entry_idx,exit_idx,entry_price,exit_price,direction,pnl_usd,fee_usd,net_pnl,exit_reason
14512,14513,1.309557444100587,1.309557444100587,BUY,0.0,0.08,-0.08,signal
14514,14521,1.309557444100587,1.309557444100587,BUY,0.0,0.08,-0.08,signal
14796,14798,1.1831462428698067,1.2273484630927227,BUY,3.736,0.08,3.656,tp
14799,14803,1.2273484630927227,1.1618195651879863,BUY,-5.3391,0.08,-5.4191,stop
15140,15141,1.222046579535066,1.222046579535066,BUY,0.0,0.08,-0.08,signal
15159,15160,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15186,15187,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15194,15195,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15203,15204,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15647,15648,1.0050863557449443,1.0170007008185329,BUY,1.1854,0.08,1.1054,tp
15820,15823,1.0893803471407213,1.1160089083800249,BUY,2.4444,0.08,2.3644,tp
15828,15830,1.1383483053930032,1.159972841701594,BUY,1.8996,0.08,1.8196,tp
15871,15872,1.2177574153085673,1.2177574153085673,BUY,0.0,0.08,-0.08,signal
15873,15874,1.2177574153085673,1.2177574153085673,BUY,0.0,0.08,-0.08,signal
17386,17388,1.03600408121092,1.03600408121092,BUY,0.0,0.08,-0.08,signal
17538,17540,1.0560797526598888,1.0560797526598888,BUY,0.0,0.08,-0.08,signal
18167,18179,1.1730786212826108,1.1730786212826108,BUY,0.0,0.08,-0.08,signal
18221,18223,1.1730786212826108,1.1730786212826108,BUY,0.0,0.08,-0.08,signal
18278,18285,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18413,18414,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18567,18574,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18575,18576,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18854,18856,1.119523640176886,1.119523640176886,BUY,0.0,0.08,-0.08,signal
18865,18866,1.119523640176886,1.119523640176886,BUY,0.0,0.08,-0.08,signal
18999,19008,1.2113832406941558,1.2057834985095557,BUY,-0.4623,0.08,-0.5423,signal
19061,19062,1.171768043324509,1.171768043324509,BUY,0.0,0.08,-0.08,signal
19078,19081,1.2113832406941558,1.2113832406941558,BUY,0.0,0.08,-0.08,signal
19082,19089,1.2113832406941558,1.2113832406941558,BUY,0.0,0.08,-0.08,signal
19258,19260,1.3705588908773043,1.3705588908773043,BUY,0.0,0.08,-0.08,signal
19262,19263,1.3705588908773043,1.3705588908773043,BUY,0.0,0.08,-0.08,signal
19265,19267,1.3705588908773043,1.3705588908773043,BUY,0.0,0.08,-0.08,signal
19504,19512,1.540755310253557,1.540755310253557,BUY,0.0,0.08,-0.08,signal
19619,19620,1.540755310253557,1.540755310253557,BUY,0.0,0.08,-0.08,signal
19707,19708,1.5045357012299243,1.5045357012299243,BUY,0.0,0.08,-0.08,signal
19920,19926,1.5530866574045892,1.5530866574045892,BUY,0.0,0.08,-0.08,signal
19929,19935,1.5530866574045892,1.5530866574045892,BUY,0.0,0.08,-0.08,signal
19937,19952,1.5530866574045892,1.5530866574045892,BUY,0.0,0.08,-0.08,signal
